study_id,author,timepoint,timing_mo,n_exp,n_ctrl,pre_m_exp,pre_sd_exp,pre_m_ctrl,pre_sd_ctrl,m_exp,sd_exp,m_ctrl,sd_ctrl,measure,m_type,sd_type,ci_lower_exp,ci_upper_exp,ci_lower_ctrl,ci_upper_ctrl,change_mean_exp,change_mean_ctrl,ci_lower_between,ci_upper_between,reported_d_between,te,se_te,n_dropout_exp,n_dropout_ctrl,notes,yi,vi,method,sd_change_exp,sd_change_ctrl,hedges_g_original,variance_original,se_original,hedges_g_final,variance_final,se_final,effect_direction
2,Stice 2008,post,3,80,84,18.2,7.53,19.6,9.23,14.25,8.98,16.71,9.74,BDI,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26112503629567335,0.15688418313751895,4,1,2010 paper Table,0.26112503629567335,0.02461264691872659,escalc_SMD,NA,NA,-0.26112503629567335,0.02461264691872659,0.15688418313751895,0.26112503629567335,0.02461264691872659,0.15688418313751895,positive values favor intervention
2,Stice 2008,fu_6mo,6,80,84,18.2,7.53,19.6,9.23,15.73,10.36,17.22,10.93,BDI,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13918081331061677,0.15640914532899888,NA,NA,2010 paper Table,0.13918081331061677,0.024463820742547895,escalc_SMD,NA,NA,-0.13918081331061677,0.024463820742547895,0.15640914532899888,0.13918081331061677,0.024463820742547895,0.15640914532899888,positive values favor intervention
2,Stice 2010,fu_12mo,12,80,84,18.2,7.53,19.6,9.23,12.58,9.86,14.45,10.04,BDI,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18701862509511924,0.15656115721292016,NA,NA,2010 paper Table; biblio vs brochure ctrl,0.18701862509511924,0.0245113959478487,escalc_SMD,NA,NA,-0.18701862509511924,0.0245113959478487,0.15656115721292016,0.18701862509511924,0.0245113959478487,0.15656115721292016,positive values favor intervention
2,Stice 2010,fu_24mo,24,80,84,18.2,7.53,19.6,9.23,11.59,8.71,12.6,9.44,BDI,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11057950483944064,0.15633950832976937,NA,NA,2010 paper Table,0.11057950483944064,0.024442041864794026,escalc_SMD,NA,NA,-0.11057950483944064,0.024442041864794026,0.15633950832976937,0.11057950483944064,0.024442041864794026,0.15633950832976937,positive values favor intervention
3,Bohr 2023,post,2,13,19,22.9,8.3,25.5,8.54,23.21,8.86,23.68,8.58,CESD-R,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05270104912967088,0.3599972954821994,7,9,"Cluster RCT; ICC correction needed; EXP worsened, CTRL improved",0.05270104912967088,0.12959805275449798,escalc_SMD,NA,NA,-0.05270104912967088,0.12959805275449798,0.3599972954821994,0.05270104912967088,0.12959805275449798,0.3599972954821994,positive values favor intervention
5,Ip 2016,post,8,130,127,20.66,9.32,20.43,9.43,19.77,8.35,21.72,9.71,CESD-R,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2148924638815641,0.1251245995291479,7,0,N=randomized (completed NR),0.2148924638815641,0.015656165407329635,escalc_SMD,NA,NA,-0.2148924638815641,0.015656165407329635,0.1251245995291479,0.2148924638815641,0.015656165407329635,0.1251245995291479,positive values favor intervention
5,Ip 2016,fu_12mo,12,130,127,20.66,9.32,20.43,9.43,20.59,8.41,23.66,8.5,CESD-R,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3620471398408874,0.12578290527855457,NA,NA,Table 3 T4; N=randomized,0.3620471398408874,0.015821339260313833,escalc_SMD,NA,NA,-0.3620471398408874,0.015821339260313833,0.12578290527855457,0.3620471398408874,0.015821339260313833,0.12578290527855457,positive values favor intervention
6,Makarushka 2011,post,1.5,76,85,26.91,8.74,27.19,9.12,21.47,9.04,25.01,10.09,CES-D,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36666276576195067,0.1591858067346681,15,8,EM imputed (Table 4); N=assigned,0.36666276576195067,0.025340121065767104,escalc_SMD,NA,NA,-0.36666276576195067,0.025340121065767104,0.1591858067346681,0.36666276576195067,0.025340121065767104,0.1591858067346681,positive values favor intervention
6,Makarushka 2011,fu_6mo,6,76,85,26.91,8.74,27.19,9.12,18.62,9.67,21.58,10.35,CES-D,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2935740409839518,0.15871439168229876,NA,NA,EM imputed (Table 5); p=.059,0.2935740409839518,0.025190258127082147,escalc_SMD,NA,NA,-0.2935740409839518,0.025190258127082147,0.15871439168229876,0.2935740409839518,0.025190258127082147,0.15871439168229876,positive values favor intervention
8,O'Dea 2020,post,1,81,82,14.59,6.88,12.73,6.68,12.33,7.11,11.13,7.2,PHQ-A,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1669223642847404,0.15692759642880622,17,13,"Primary outcome (depressive symptoms) non-significant (d = 0.26, p = .138); intervention primarily targets relationship issues, no depression severity threshold at baseline",-0.1669223642847404,0.02462627052092227,escalc_SMD,NA,NA,0.1669223642847404,0.02462627052092227,0.15692759642880622,-0.1669223642847404,0.02462627052092227,0.15692759642880622,positive values favor intervention
8,O'Dea 2020,fu_3mo,3,55,60,14.59,6.88,12.73,6.68,12.05,7.1,11.27,7.12,PHQ-A,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.10896773951832213,0.1868157134649621,NA,NA,"Primary outcome (depressive symptoms) non-significant (d = 0.26, p = .138); intervention primarily targets relationship issues, no depression severity threshold at baseline",-0.10896773951832213,0.03490011079742282,escalc_SMD,NA,NA,0.10896773951832213,0.03490011079742282,0.1868157134649621,-0.10896773951832213,0.03490011079742282,0.1868157134649621,positive values favor intervention
10,Poppelaars 2016,post,0,51,51,62.61,11.97,61.9,11.97,57.88,12.57,57.74,12.56,RADS-2,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.011058250433454347,0.19803102209074996,2,0,Immediately post-intervention / within 1 week,-0.011058250433454347,0.0392162857103071,escalc_SMD,NA,NA,0.011058250433454347,0.0392162857103071,0.19803102209074996,-0.011058250433454347,0.0392162857103071,0.19803102209074996,positive values favor intervention
10,Poppelaars 2016,fu_3mo,3,51,51,62.61,11.97,61.9,11.97,54.78,10.3,56.06,13.04,RADS-2,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10811546623787882,0.19817412815204388,NA,NA,Immediately post-intervention / within 1 week,0.10811546623787882,0.039272985068822715,escalc_SMD,NA,NA,-0.10811546623787882,0.039272985068822715,0.19817412815204388,0.10811546623787882,0.039272985068822715,0.19817412815204388,positive values favor intervention
10,Poppelaars 2016,fu_6mo,6,51,51,62.61,11.97,61.9,11.97,58.17,12.72,57.62,13.33,RADS-2,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.04189737692800539,0.19805123359474247,NA,NA,Immediately post-intervention / within 1 week,-0.04189737692800539,0.03922429112839925,escalc_SMD,NA,NA,0.04189737692800539,0.03922429112839925,0.19805123359474247,-0.04189737692800539,0.03922429112839925,0.19805123359474247,positive values favor intervention
10,Poppelaars 2016,fu_12mo,12,51,51,62.61,11.97,61.9,11.97,57.08,14.21,61.22,15.03,RADS-2,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2809332686036177,0.19900393509519876,NA,NA,Immediately post-intervention / within 1 week,0.2809332686036177,0.03960256618337408,escalc_SMD,NA,NA,-0.2809332686036177,0.03960256618337408,0.19900393509519876,0.2809332686036177,0.03960256618337408,0.19900393509519876,positive values favor intervention
11,Ranney 2018,post,2,55,55,13.6,8.6,13.4,10.1,14.8,12.4,15,11.9,BDI-II,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01634282465578148,0.19069570105177003,3,3,NA,0.01634282465578148,0.036364850399626045,escalc_SMD,NA,NA,-0.01634282465578148,0.036364850399626045,0.19069570105177003,0.01634282465578148,0.036364850399626045,0.19069570105177003,positive values favor intervention
11,Ranney 2018,fu_4mo,4,52,54,13.6,8.6,13.4,10.1,12.5,12.8,11.7,11,BDI-II,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.06664710821161932,0.1943456709339419,NA,NA,NA,-0.06664710821161932,0.03777023981076403,escalc_SMD,NA,NA,0.06664710821161932,0.03777023981076403,0.1943456709339419,-0.06664710821161932,0.03777023981076403,0.1943456709339419,positive values favor intervention
12,Smith 2015,post,2,55,55,25.6,11.1,24.8,11.8,13.4,12.9,24.3,13.6,MFQ-C,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8166283928870158,0.19848153030708413,0,2,"Only the post-treatment assessment represents a true randomized controlled comparison. The 3- and 6-month follow-ups included only the Stressbusters group; the waiting-list group was offered Stressbusters after the waiting period, so these later follow-up data cannot be treated as comparative exp-versus-control follow-up outcomes.",0.8166283928870158,0.03939491787304195,escalc_SMD,NA,NA,-0.8166283928870158,0.03939491787304195,0.19848153030708413,0.8166283928870158,0.03939491787304195,0.19848153030708413,positive values favor intervention
13,Stasiak 2014,post,1.5,17,17,48.29,6.49,45.47,9.44,30.41,7.38,36.29,13.77,CDRS-R,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5196760691785306,0.34873855066335463,1,4,NA,0.5196760691785306,0.12161857671877718,escalc_SMD,NA,NA,-0.5196760691785306,0.12161857671877718,0.34873855066335463,0.5196760691785306,0.12161857671877718,0.34873855066335463,positive values favor intervention
13,Stasiak 2014,fu_1mo,2.5,17,17,48.29,6.49,45.47,9.44,32.06,8.34,34,12.77,CDRS-R,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1756262212290035,0.34365775916607316,NA,NA,NA,0.1756262212290035,0.11810065543504675,escalc_SMD,NA,NA,-0.1756262212290035,0.11810065543504675,0.34365775916607316,0.1756262212290035,0.11810065543504675,0.34365775916607316,positive values favor intervention
14,Wright 2020,post,4,42,44,18,6.9,16,6.6,14.4,9.3,15.4,9.2,BDI,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10715171855234179,0.21587855240903236,28,25,"1. Baseline imbalance on primary outcome: BDI exp 18.0 (SD=6.9) vs ctrl 16.0 (SD=6.6); no baseline adjustment in multilevel model.

2. High attrition: 4-month analysed n=42/70 (exp) and 44/69 (ctrl); 12-month analysed n=38/70 (exp) and 37/69 (ctrl). No ITT with imputation; mixed model included only participants with data at ≥1 post-randomisation timepoint.",0.10715171855234179,0.04660354939021933,escalc_SMD,NA,NA,-0.10715171855234179,0.04660354939021933,0.21587855240903236,0.10715171855234179,0.04660354939021933,0.21587855240903236,positive values favor intervention
14,Wright 2020,fu_12mo,12,38,37,18,6.9,16,6.6,12.8,9.7,12.3,8.9,BDI,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0531284764307314,0.2310013724362482,NA,NA,"1. Baseline imbalance on primary outcome: BDI exp 18.0 (SD=6.9) vs ctrl 16.0 (SD=6.6); no baseline adjustment in multilevel model.

2. High attrition: 4-month analysed n=42/70 (exp) and 44/69 (ctrl); 12-month analysed n=38/70 (exp) and 37/69 (ctrl). No ITT with imputation; mixed model included only participants with data at ≥1 post-randomisation timepoint.",-0.0531284764307314,0.05336163406743024,escalc_SMD,NA,NA,0.0531284764307314,0.05336163406743024,0.2310013724362482,-0.0531284764307314,0.05336163406743024,0.2310013724362482,positive values favor intervention
15,Rohde 2015,post,2,128,124,1.45,0.41,1.38,0.36,1.5,0.42,1.51,0.41,K-SADS composite,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.024017639691153673,0.12600857378275132,6,8,"K-SADS 16-item composite (study-specific 4-point averaged scale); MI imputed means (20 datasets, Rubin's rules); N reported = randomized N per Table 1 note.",0.024017639691153673,0.01587816066676308,escalc_SMD,NA,NA,-0.024017639691153673,0.01587816066676308,0.12600857378275132,0.024017639691153673,0.01587816066676308,0.12600857378275132,positive values favor intervention
15,Rohde 2015,fu_6mo,6,128,124,1.45,0.41,1.38,0.36,1.26,0.32,1.28,0.33,K-SADS composite,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06136147364390817,0.1260336733748767,NA,NA,"K-SADS 16-item composite (study-specific 4-point averaged scale); MI imputed means (20 datasets, Rubin's rules); N reported = randomized N per Table 1 note.",0.06136147364390817,0.0158844868243651,escalc_SMD,NA,NA,-0.06136147364390817,0.0158844868243651,0.1260336733748767,0.06136147364390817,0.0158844868243651,0.1260336733748767,positive values favor intervention
15,Rohde 2015,fu_12mo,12,128,124,1.45,0.41,1.38,0.36,1.36,0.46,1.31,0.4,K-SADS composite,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11552044970026408,0.12610905698101657,NA,NA,"K-SADS 16-item composite (study-specific 4-point averaged scale); MI imputed means (20 datasets, Rubin's rules); N reported = randomized N per Table 1 note.",-0.11552044970026408,0.015903494252641287,escalc_SMD,NA,NA,0.11552044970026408,0.015903494252641287,0.12610905698101657,-0.11552044970026408,0.015903494252641287,0.12610905698101657,positive values favor intervention
15,Rohde 2015,fu_18mo,18,128,124,1.45,0.41,1.38,0.36,1.34,0.46,1.31,0.35,K-SADS composite,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.07302424129851197,0.12604600971541122,NA,NA,"K-SADS 16-item composite (study-specific 4-point averaged scale); MI imputed means (20 datasets, Rubin's rules); N reported = randomized N per Table 1 note.",-0.07302424129851197,0.01588759656517754,escalc_SMD,NA,NA,0.07302424129851197,0.01588759656517754,0.12604600971541122,-0.07302424129851197,0.01588759656517754,0.12604600971541122,positive values favor intervention
15,Rohde 2015,fu_24mo,24,128,124,1.45,0.41,1.38,0.36,1.4,0.47,1.39,0.43,K-SADS composite,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.02211793635215569,0.12600788376177305,NA,NA,"K-SADS 16-item composite (study-specific 4-point averaged scale); MI imputed means (20 datasets, Rubin's rules); N reported = randomized N per Table 1 note.",-0.02211793635215569,0.01587798677012051,escalc_SMD,NA,NA,0.02211793635215569,0.01587798677012051,0.12600788376177305,-0.02211793635215569,0.01587798677012051,0.12600788376177305,positive values favor intervention
16,Ackerson 1998,post,1,12,10,19.2,7.1,16.8,4.5,9.4,6.7,15.8,5.2,CDI,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0140679758828335,0.45464772892611777,3,5,Completer data from Table 2. Immediate-treatment group: Time 1 to Time 2 after 4-week bibliotherapy; delayed-treatment group: Time 1 to Time 2 waiting period. No eligible randomized comparative follow-up because delayed group received treatment after Time 2.,1.0140679758828335,0.20670455741767668,escalc_SMD,NA,NA,-1.0140679758828335,0.20670455741767668,0.45464772892611777,1.0140679758828335,0.20670455741767668,0.45464772892611777,positive values favor intervention
1,Stallard 2024,post,3,68,70,45.99,NA,45.12,NA,36.09,NA,38.99,NA,MFQ,change score,change_ci,-14.34,-5.47,-10.09,-2.17,-9.9,-6.13,NA,NA,NA,0.21074207143853288,0.17074106266999142,17,15,Post M=baseline+ANCOVA adj change; raw post in eTable (unavailable),0.21074207143853288,0.02915251048167794,escalc_SMD_change,18.65915658123911,16.90394747487214,-0.21074207143853288,0.02915251048167794,0.17074106266999142,0.21074207143853288,0.02915251048167794,0.17074106266999142,positive values favor intervention
1,Stallard 2024,fu_6mo,6,61,68,45.99,NA,45.12,NA,35.21,NA,35.86,NA,MFQ,change score,change_ci,-15.99,-5.58,-13.83,-4.7,-10.78,-9.26,NA,NA,NA,0.07575479357923984,0.17641306171352777,NA,NA,M=baseline+change(-10.78/-9.26); SD from CI,0.07575479357923984,0.031121568343140962,escalc_SMD_change,20.74099467504803,19.2060991642292,-0.07575479357923984,0.031121568343140962,0.17641306171352777,0.07575479357923984,0.031121568343140962,0.17641306171352777,positive values favor intervention
4,Fleming 2012,post,1.5,19,11,39.6,NA,39.5,NA,24.9,NA,38.4,NA,CDRS-R,change score,change_ci,-18.6,-10.7,-6.3,4.1,-14.7,-1.1,NA,NA,NA,1.5053730380681607,0.4258048883219113,1,0,Post M=baseline+change(-14.7/-1.1); SD from change CI,1.5053730380681607,0.1813098029188354,escalc_SMD_change,8.784515728053913,8.799208627473508,-1.5053730380681607,0.1813098029188354,0.4258048883219113,1.5053730380681607,0.1813098029188354,0.4258048883219113,positive values favor intervention
9,O'Dea 2025,post,1.5,130,154,12.34,4.05,12.36,3.88,NA,NA,NA,NA,PHQ-A,d,between_ci,NA,NA,NA,NA,NA,NA,-0.57,-0.12,-0.35,0.35,0.11479591836734693,65,36,"Only MMRM estimated marginal means reported; raw post/FU M±SD not available. Differential decline (self-directed vs control): post -1.77 (95%CI -2.98 to -0.56), d=0.35.S",0.35,0.01317810287380258,reported_d,NA,NA,-0.35,0.01317810287380258,0.11479591836734693,0.35,0.01317810287380258,0.11479591836734693,positive values favor intervention
9,O'Dea 2025,fu_4mo,4,102,135,12.34,4.05,12.36,3.88,NA,NA,NA,NA,PHQ-A,d,between_ci,NA,NA,NA,NA,NA,NA,-0.45,0.05,-0.2,0.2,0.12755102040816327,NA,NA,"Only MMRM estimated marginal means reported; raw post/FU M±SD not available. Differential decline (self-directed vs control): post -1.77 (95%CI -2.98 to -0.56), d=0.35.S",0.2,0.016269262807163683,reported_d,NA,NA,-0.2,0.016269262807163683,0.12755102040816327,0.2,0.016269262807163683,0.12755102040816327,positive values favor intervention
